ts,node,srx,stx,etx,erx
1134,2,7,7,27,27
1134,3,9,9,28,29
1134,4,9,9,29,29
1134,5,9,9,29,29
1134,6,9,9,29,29
1134,7,9,9,29,29
1134,8,9,9,29,29
1152,0,13,13,29,53
1152,1,9,9,28,29
1152,2,9,9,29,29
1152,3,9,9,28,29
1152,4,9,9,29,29
1152,5,9,9,29,29
1152,6,9,9,29,29
1152,7,9,9,29,29
1152,8,9,9,29,29
1158,0,13,13,29,53
1158,1,9,9,29,29
1158,2,9,9,29,29
1158,3,9,9,28,29
1158,4,9,9,29,29
1158,5,9,9,29,29
1158,6,9,9,29,29
1158,7,9,9,29,29
1158,8,9,9,29,29
1162,0,13,13,29,53
1162,1,9,9,29,29
1162,2,10,10,29,30
1162,3,9,9,28,29
1162,4,9,9,29,29
1162,5,9,9,29,29
1162,6,9,9,29,29
1162,7,9,9,29,29
1162,8,9,9,29,29
1172,0,13,13,29,53
1172,1,10,10,30,30
1172,2,10,10,29,30
1172,3,9,9,28,29
1172,4,9,9,29,29
1172,5,9,9,29,29
1172,6,9,9,29,29
1172,7,9,9,29,29
1172,8,9,9,29,29
1175,0,13,13,29,53
1175,1,10,10,30,30
1175,2,10,10,29,30
1175,3,9,9,28,29
1175,4,10,10,29,30
1175,5,9,9,29,29
1175,6,9,9,29,29
1175,7,9,9,29,29
1175,8,9,9,29,29
1185,0,13,13,29,53
1185,1,10,10,30,30
1185,2,10,10,29,30
1185,3,10,10,30,30
1185,4,10,10,29,30
1185,5,9,9,29,29
1185,6,9,9,29,29
1185,7,9,9,29,29
1185,8,9,9,29,29
1253,0,13,13,29,53
1253,1,10,10,30,30
1253,2,10,10,29,30
1253,3,10,10,30,30
1253,4,11,11,29,31
1253,5,9,9,29,29
1253,6,9,9,29,29
1253,7,9,9,29,29
1253,8,9,9,29,29
1272,0,13,13,29,53
1272,1,11,11,31,31
1272,2,10,10,29,30
1272,3,10,10,30,30
1272,4,11,11,29,31
1272,5,9,9,29,29
1272,6,9,9,29,29
1272,7,9,9,29,29
1272,8,9,9,29,29
1274,0,13,13,29,53
1274,1,11,11,31,31
1274,2,10,10,29,30
1274,3,11,11,31,31
1274,4,11,11,29,31
1274,5,9,9,29,29
1274,6,9,9,29,29
1274,7,9,9,29,29
1274,8,9,9,29,29
1311,0,13,13,29,53
1311,1,11,11,31,31
1311,2,10,10,29,30
1311,3,12,12,31,32
1311,4,11,11,29,31
1311,5,9,9,29,29
1311,6,9,9,29,29
1311,7,9,9,29,29
1311,8,9,9,29,29
1312,0,13,13,30,53
1312,1,11,11,31,31
1312,2,10,10,29,30
1312,3,12,12,31,32
1312,4,11,11,29,31
1312,5,9,9,29,29
1312,6,9,9,29,29
1312,7,9,9,29,29
1312,8,9,9,29,29
1318,0,13,13,30,53
1318,1,12,12,31,32
1318,2,10,10,29,30
1318,3,12,12,31,32
1318,4,11,11,29,31
1318,5,9,9,29,29
1318,6,9,9,29,29
1318,7,9,9,29,29
1318,8,9,9,29,29
1331,0,13,13,30,53
1331,1,12,12,31,32
1331,2,10,10,29,30
1331,3,12,12,31,32
1331,4,11,11,29,31
1331,5,9,9,29,29
1331,6,9,9,29,29
1331,7,10,10,30,30
1331,8,9,9,29,29
1335,0,13,13,30,53
1335,1,12,12,31,32
1335,2,10,10,29,30
1335,3,12,12,31,32
1335,4,11,11,29,31
1335,5,10,10,30,30
1335,6,9,9,29,29
1335,7,10,10,30,30
1335,8,9,9,29,29
1341,0,13,13,30,53
1341,1,12,12,31,32
1341,2,10,10,29,30
1341,3,12,12,31,32
1341,4,12,12,30,32
1341,5,10,10,30,30
1341,6,9,9,29,29
1341,7,10,10,30,30
1341,8,9,9,29,29
1351,0,13,13,30,53
1351,1,12,12,31,32
1351,2,10,10,29,30
1351,3,12,12,31,32
1351,4,12,12,30,32
1351,5,10,10,30,30
1351,6,9,9,29,29
1351,7,10,10,30,30
1351,8,10,10,30,30
1376,0,13,13,30,53
1376,1,12,12,31,32
1376,2,10,10,29,30
1376,3,13,13,32,33
1376,4,12,12,30,32
1376,5,10,10,30,30
